Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
ptyadana Data-Science-and-Machine-Learning-Projects-Dojo,"collections of data science, machine learning and data visualization projects with pandas, sklearn, matplotlib, tensorflow2, Keras, various ML algorithms like random forest classifier, boosting, etc","['Jupyter Notebook', 'HTML']",102,514,659,0,0,0,https://github.com/ptyadana/Data-Science-and-Machine-Learning-Projects-Dojo
Dyakonov DL,"Курс ""Глубокое обучение (Deep Learning)"" (ВМК, МГУ имени М.В. Ломоносова)",[],66,513,131,0,0,0,https://github.com/Dyakonov/DL
apple ml-mdm,Train high-quality text-to-image diffusion models in a data & compute efficient manner,"['Python', 'Shell']",35,511,120,9,14,0,https://github.com/apple/ml-mdm
BaseModelAI cleora,"Cleora AI is a general-purpose open-source model for efficient, scalable learning of stable and inductive entity embeddings for heterogeneous relational data. Created by Synerise.com team.","['Jupyter Notebook', 'Rust', 'Other']",54,511,122,0,9,9,https://github.com/BaseModelAI/cleora
WeBankFinTech Prophecis,Prophecis is a one-stop cloud native machine learning platform.,"['Go', 'Vue', 'JavaScript', 'Java', 'Python', 'Shell', 'Other']",153,510,107,0,12,7,https://github.com/WeBankFinTech/Prophecis
PlayingNumbers ML_Process_Course,Public repo for the 365 Data Science ML Process Course,"['Jupyter Notebook', 'Python']",199,509,35,0,2,0,https://github.com/PlayingNumbers/ML_Process_Course
GoogleCloudPlatform ml-on-gcp,Machine Learning on Google Cloud Platform,"['Python', 'Jupyter Notebook', 'Shell', 'Other']",183,508,376,31,27,0,https://github.com/GoogleCloudPlatform/ml-on-gcp
richmanbtc mlbot_tutorial,A tutorial for algorithmic trading bot using machine learning.,"['Jupyter Notebook', 'Dockerfile']",190,507,32,0,2,0,https://github.com/richmanbtc/mlbot_tutorial
superlinked VectorHub,"VectorHub is a free, open-source learning website for people (software developers to senior ML architects) interested in adding vector retrieval to their ML stack.","['Jupyter Notebook', 'Other']",129,504,2302,7,82,0,https://github.com/superlinked/VectorHub
supabase-community chatgpt-your-files,Production-ready MVP for securely chatting with your documents using pgvector,"['TypeScript', 'PLpgSQL', 'JavaScript', 'CSS']",193,504,55,2,6,0,https://github.com/supabase-community/chatgpt-your-files
Michael-Jetson ML_DL_CV_with_pytorch,一个计算机视觉、机器学习与深度学习相关的项目，看课程的笔记还有自己做的程序,['Python'],30,503,136,1,7,0,https://github.com/Michael-Jetson/ML_DL_CV_with_pytorch
