Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
sherifabdlnaby elastdocker,"🐳 Elastic Stack (ELK) v8+ on Docker with Compose. Pre-configured out of the box to enable Logging, Metrics, APM, Alerting, ML, and SIEM features. Up with a Single Command.","['Dockerfile', 'Shell']",335,2046,137,1,9,22,https://github.com/sherifabdlnaby/elastdocker
NiuTrans ABigSurvey,A collection of 1000+ survey papers on Natural Language Processing (NLP) and Machine Learning (ML).,[],247,2035,86,3,10,0,https://github.com/NiuTrans/ABigSurvey
Thinklab-SJTU awesome-ml4co,Awesome machine learning for combinatorial optimization papers.,['Python'],230,2031,211,0,30,0,https://github.com/Thinklab-SJTU/awesome-ml4co
WongKinYiu ScaledYOLOv4,Scaled-YOLOv4: Scaling Cross Stage Partial Network,['Python'],570,2029,20,16,0,0,https://github.com/WongKinYiu/ScaledYOLOv4
KudoAI chatgpt.js,"🤖 A powerful, open source client-side JavaScript library for ChatGPT","['JavaScript', 'CSS', 'Python', 'Shell', 'HTML']",163,2025,5657,2,30,35,https://github.com/KudoAI/chatgpt.js
tinghuiz SfMLearner,An unsupervised learning framework for depth and ego-motion estimation from monocular videos,"['Jupyter Notebook', 'Python']",557,2009,31,1,2,0,https://github.com/tinghuiz/SfMLearner
aburkov theMLbook,The Python code to reproduce the illustrations from The Hundred-Page Machine Learning Book.,['Python'],590,1998,36,2,2,0,https://github.com/aburkov/theMLbook
epfml ML_course,"EPFL Machine Learning Course, Fall 2025","['Jupyter Notebook', 'TeX', 'Python', 'Other']",1015,1983,405,2,32,0,https://github.com/epfml/ML_course
ICT-BDA EasyML,Easy Machine Learning is a general-purpose dataflow-based system for easing the process of applying machine learning algorithms to real world tasks.,"['Java', 'JavaScript', 'CSS', 'HTML', 'Other']",436,1979,90,7,5,3,https://github.com/ICT-BDA/EasyML
apple ml-fastvit,"This repository contains the official implementation of the research paper, ""FastViT: A Fast Hybrid Vision Transformer using Structural Reparameterization"" ICCV 2023",['Python'],120,1972,1,3,0,0,https://github.com/apple/ml-fastvit
endymecy spark-ml-source-analysis,spark ml 算法原理剖析以及具体的源码实现分析,[],823,1959,650,0,0,0,https://github.com/endymecy/spark-ml-source-analysis
